rank,strategy,category,edge_potential,difficulty,enso_fit,ai_leverage,build_phase,data_sources,description
1,IV vs RV Gap Monitor,Volatility Arbitrage,9.2,Medium,9.0,7.5,Phase 1,yfinance + Polygon options chain,"Trades the gap between implied and realized volatility. When IV is rich vs RV sell premium; when IV is cheap buy premium."
2,Dealer Gamma Regime,Market Microstructure,9.0,High,8.0,9.0,Phase 2,SpotGamma + SqueezeMetrics GEX,"Classifies positive/negative gamma regimes from dealer positioning. Adapts strategy behavior based on whether dealers are long or short gamma."
3,Skew Surface Trading,Volatility Surface,8.8,Expert,6.5,6.0,Phase 3,iVolatility + CBOE skew data,"Trades mispricings across strike and tenor on the vol surface. Buys cheap wings and sells rich wings relative to surface fair value."
4,Dispersion / Correlation Trades,Relative Value,8.5,Expert,5.5,5.0,Phase 4,Polygon + CBOE index options,"Exploits differences between index option pricing and single-name option pricing around implied correlation."
5,Event Vol Strangle,Event-Driven,8.2,Medium,8.5,8.0,Phase 1,Earnings calendars + options chains,"Systematically prices expected moves around earnings and catalysts. Buys or sells vol depending on whether events are over- or under-priced."
6,Term Structure Carry,Volatility Carry,7.8,Medium,7.0,5.5,Phase 2,VIX futures + equity term structure,"Harvests roll yield from contango in VIX or equity vol term structure with strict risk controls."
7,Pinning / 0DTE Dynamics,Market Microstructure,7.5,High,7.5,8.5,Phase 2,0DTE flow data + open interest,"Identifies gamma pinning at high open interest strikes and trades around 0DTE hedging dynamics."
8,Vol Risk Premium Harvest,Premium Selling,7.2,Medium,7.0,6.0,Phase 1,Options chains + vol data,"Systematically sells options premium with strict filters: only when IV>RV is positive regime is not crisis and skew is not extreme."
9,Cross-Asset Signal Fusion,Macro Overlay,6.8,High,6.5,9.5,Phase 3,MOVE index + CDX + macro data,"Combines equity vol credit spreads rate vol and macro signals into regime labels that filter all other strategies."
10,S/R + Vol Filter Overlay,Technical + Vol,6.2,Low,9.2,4.0,Baseline,yfinance (already integrated),"Current Enso baseline. S/R pivot trading with confluence scoring. Adding vol filters improves signal quality."
